,root,url,Product Code,Settlement Method,Price Quotation,Contract Unit,Minimum Price Fluctuation,Termination Of Trading,Trading Hours
202,NK,http://www.cmegroup.com/trading/equity-index/international-index/nikkei-225-dollar_contract_specifications.html,CME Globex: NKD ,Financially Settled ,,$5.00 x Nikkei Stock Average ,5.00 index points=$25.00 ,5:00 p.m. Eastern Time (ET) on Business Day prior to 2nd Friday of the contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
203,NKN,http://www.cmegroup.com/trading/energy/natural-gas/sumas-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: NKNCME ClearPort: NKClearing: NK ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
204,NL,http://www.cmegroup.com/trading/energy/natural-gas/natural-gas-pipeline-ngpl-midcontinent-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: NLCME ClearPort: NLClearing: NL ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
205,NME,http://www.cmegroup.com/europe/products/energy/natural-gas/uk-natural-gas-calendar-month_contract_specifications.html,,,,,,,
206,NN,http://www.cmegroup.com/trading/energy/natural-gas/henry-hub-natural-gas-swap-futures-financial_contract_specifications.html,CME Globex: NN ,Financially Settled ,U.S. dollars and cents per MMBtu ,"CME Globex: NN – 2,500 MMBtu per day ",0.001 per MMBtu = $2.50 ,Trading terminates 3 business days prior to the contract month. ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
207,NOK,http://www.cmegroup.com/trading/fx/g10/norwegian-krone_contract_specifications.html,CME Globex: NOKCME ClearPort: UNClearing: UN ,Deliverable ,,"2,000,000 Norwegian kroner ",$.00001 per Norwegian krone increments ($20.00/contract). $.000005 per Norwegian krone increments ($10.00/contract) for NOK/USD futures intra-currency spreads executed electronically. ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
208,NP,http://www.cmegroup.com/trading/energy/natural-gas/natural-gas-penultimate-swap-financial_contract_specifications.html,CME Globex: NPGCME ClearPort: NP ,Financially Settled ,U.S. dollars and cents per mmBtu ,"2,500 million British thermal units (mmBtu). ",CME ClearPort: ,Trading and posting of transactions shall cease on the business day preceding the termination of trading for the corresponding contract month of the NYMEX (Henry Hub) Natural Gas Futures contract. ,CME Globex: 
209,NQ,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-nasdaq-100_contract_specifications.html,CME Globex: NQ ,Financially Settled ,,$20 x Nasdaq-100 Index ,Outright: 0.25 Index Points=$5.00 Calendar Spread: 0.05 Index Points=$1.00 BTIC Minimum Price Fluctuation: 0.05 Index Points=$1.00 ,Trading can occur up until 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month  BTIC trading terminates at 4:00 p.m. ET on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
210,NR,http://www.cmegroup.com/trading/energy/natural-gas/northwest-pipeline-rockies-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: NRCME ClearPort: NRClearing: NR ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
211,NW,http://www.cmegroup.com/trading/energy/natural-gas/waha-texas-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: NWCME ClearPort: NWClearing: NW ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
212,NX,http://www.cmegroup.com/trading/energy/natural-gas/texas-eastern-zone-m-3-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: NXCME ClearPort: NXClearing: NX ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
213,NYF,http://www.cmegroup.com/trading/energy/refined-products/new-york-fuel-oil-1pct-vs-european-1pct-fuel-oil-cargoes-fob-nwe-platts-swap-futures_contract_specifications.html,CME Globex: NYFCME ClearPort: NYFClearing: NYF ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 U.S. barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
214,NZ,http://www.cmegroup.com/trading/energy/natural-gas/transco-zone-6-new-york-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: NZNCME ClearPort: NZClearing: NZ ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
215,NZD,http://www.cmegroup.com/europe/products/fx/majors/nzd-usd_contract_specifications.html,,,,,,,
216,O,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/oats_contract_specifications.html,CME Globex: ZOCME ClearPort: O ,Deliverable ,Cents per bushel ,"5,000 bushels (~ 86 metric tons) ",1/4 of one cent per bushel ($12.50 per contract) ,The business day prior to the 15th calendar day of the contract month. ,"Sunday – Friday, 7:00 p.m. – 7:45 a.m. CT and "
217,O1,http://www.cmegroup.com/trading/energy/electricity/ercot-west-zone-mcpe-5-mw-off-peak-swap-futures_contract_specifications.html,CME Globex: AO1CME ClearPort: O1 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.01 x 5 MW x # off-peak hours/month ,"On the second to last business day of the month prior to the contract month, each O1/AO1 open position converts into a strip of ERCOT West 345 kV Hub 5 MW Off-Peak Calendar-Day Futures - R4/AR4 in the originally specified contract month.. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
218,OFM,http://www.cmegroup.com/trading/energy/electricity/ontario-off-peak-calendar-month-swap-futures_contract_specifications.html,CME Globex: OFFCME ClearPort: OFM ,Deliverable ,CAD dollars and cents per MWh ,5 MWH ,0.05 x 5 MW x # off-peak hours/month ,"On the last business day of the month prior to the contract month, each OFM/OFF open position converts into a strip of Ontario Off-Peak Calendar-Day Futures - OFD/OOD in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
219,OPM,http://www.cmegroup.com/trading/energy/electricity/ontario-peak-calendar-month-swap-futures_contract_specifications.html,CME Globex: OMM ,Deliverable ,CAD dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 peak hours x # peak days/month ,"On the second to last business day of the month prior to the contract month, each OPM/OMM open position converts into a strip of Ontario Peak Calendar-Day Futures - OPD/OPO in the originally specified contract month. ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
220,P5,http://www.cmegroup.com/trading/energy/electricity/nepool-se-mass-5-mw-off-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: AP5 ,Financially Settled ,The contract quantity shall be 5 Megawatts Hours (MWH). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
221,P7,http://www.cmegroup.com/trading/energy/electricity/nepool-ne-mass-5-peak-mw-day-ahead-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: AP7 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. ,80 Megawatt hours (MWh) (5 MW per peak hour). ,$0.05 per MWh ,CME Globex: ,CME Globex: 
222,P8,http://www.cmegroup.com/trading/energy/electricity/nepool-ne-mass-5-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AP8 ,Financially Settled ,The contract quantity shall be 5 Megawatts Hours (MWH). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
223,PA,http://www.cmegroup.com/trading/metals/precious/palladium_contract_specifications.html,CME Globex: PACME ClearPort: PAClearing: PA ,Deliverable ,U.S. Dollars and Cents per troy ounce ,100 troy ounces ,$0.10 per troy ounce ,Trading terminates on the third last business day of the delivery month. ,CME Globex: 
224,PD,http://www.cmegroup.com/trading/energy/natural-gas/natural-gas-pipeline-texasoklahoma-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: PDCME ClearPort: PDClearing: PD ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
225,PDM,http://www.cmegroup.com/trading/energy/electricity/midwest-iso-indiana-hub-5-mw-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,,,,,,,
226,PF,http://www.cmegroup.com/trading/energy/natural-gas/northern-natural-gas-ventura-iowa-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: PFCME ClearPort: PFClearing: PF ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
227,PG,http://www.cmegroup.com/trading/energy/natural-gas/dominion-appalachia-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: PGNCME ClearPort: PGClearing: PG ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
228,PH,http://www.cmegroup.com/trading/energy/natural-gas/panhandle-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,CME Globex: PHCME ClearPort: PHClearing: PH ,Financially Settled ,U.S. dollars and cents per MMBtu ,"2,500 MMBtu ",$0.0001 per MMBtu ,Trading shall cease on the last business day of the month prior to the contract month. ,CME Globex: 
229,PL,http://www.cmegroup.com/trading/metals/precious/platinum_contract_specifications.html,CME Globex: PLCME ClearPort: PLClearing: PL ,Deliverable ,U.S. Dollars and Cents per troy ounce ,50 troy ounces ,$0.10 per troy ounce ,Trading terminates on the third last business day of the delivery month. ,CME Globex: 
230,PZ,http://www.cmegroup.com/trading/fx/emerging-market/polish-zloty_contract_specifications.html,CME Globex: PLNCME ClearPort: PZClearing: PZ ,Deliverable ,,"500,000 Polish zloty ",$.00002 per Polish zloty increments ($10.00/contract). $.00001 per Polish zloty increments ($5.00/contract) for PLN/USD futures intra-currency spreads executed electronically. ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,CME Globex: 
231,Q5,http://www.cmegroup.com/trading/energy/electricity/nyiso-zone-c-5-mw-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: AQ5 ,Financially Settled ,U.S. dollars and cents per MWh ,5 MW (80 MWh) ,0.05 x 5 MW x 16 peak hours x # peak days/month ,CME Globex: ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
232,QG,http://www.cmegroup.com/trading/energy/natural-gas/emini-natural-gas_contract_specifications.html,CME Globex: QGClearing: QG ,Financially Settled ,U.S. dollars and cents per mmBtu. ,"2,500 million British thermal units (mmBtu). ",$0.005 per MMBtu ,Trading shall cease on the business day immediately preceding the last day of trading in the current delivery month of the Henry Hub Natural Gas Futures contract. ,CME Globex: 
233,QI,http://www.cmegroup.com/trading/metals/precious/miNY-silver_contract_specifications.html,,,,,,,
234,QM,http://www.cmegroup.com/trading/energy/crude-oil/emini-crude-oil_contract_specifications.html,CME Globex: QMCME ClearPort: QMClearing: QM ,Financially Settled ,U.S. dollars and cents per barrel. ,500 barrels. ,$0.025 per barrel ,Trading in the current delivery month shall cease on the business day immediately preceding to the last day of trading in the current delivery month of the NYMEX Light Sweet Crude Oil futures contract. ,CME Globex: 
235,QP,http://www.cmegroup.com/trading/energy/coal/western-rail-powder-river-basin-coal-swap-futures_contract_specifications.html,CME Globex: QPCME ClearPort: QPClearing: QP ,Financially Settled ,U.S. Dollars and Cents per ton ,"1,000 tons ",$0.01 per ton ,"Trading terminates on the 25th day of the month prior to the contract month.  If the 25th day is not a business day, the contract shall expire on the last business day prior to the 25th. ",CME Globex: 
236,QX,http://www.cmegroup.com/trading/energy/coal/eastern-rail-csx-coal-swap-futures_contract_specifications.html,CME Globex: QXBCME ClearPort: QXClearing: QX ,Financially Settled ,U.S. Dollars and Cents per ton ,"1,000 tons ",$0.01 per ton ,"Trading terminates on the 25th day of the month prior to the contract month.  If the 25th day is not a business day, the contract shall expire on the last business day prior to the 25th. ",CME Globex: 
237,R3,http://www.cmegroup.com/trading/energy/electricity/pjm-bge-zone-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AR3CME ClearPort: R3Clearing: R3 ,Financially Settled ,The contract quantity shall be 5 Megawatts hours (MWh). Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of off-peak hours in the month. ,5 Megawatts hours (MWh) ,$0.05 per MWh ,CME Globex: ,CME Globex: 
238,R6,http://www.cmegroup.com/trading/energy/electricity/nepool-w-central-mass-5-mw-peak-calendar-month-day-ahead-swap-futures_contract_specifications.html,CME Globex: AR6 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. ,80 Megawatt hours (MWh) (5 MW per peak hour). ,$0.05 per MWh ,CME Globex: ,CME Globex: 
239,R7,http://www.cmegroup.com/trading/energy/electricity/pjm-aep-dayton-hub-off-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: R7LCME ClearPort: R7 ,Deliverable ,U.S. dollars and cents per MWh ,5 MWh ,0.05 x 5 MW x # off-peak hours/month ,"On the second to last business day of the month prior to the contract month, each R7/R7L open position converts into a strip of PJM AEP Dayton Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures - PEO/PEL in the originally specified contract month.  ",Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
240,RA,http://www.cmegroup.com/trading/fx/emerging-market/south-african-rand_contract_specifications.html,CME Globex: 6ZCME ClearPort: RAClearing: RA ,Deliverable ,,"500,000 South African rand ",$.000025 per South African rand increments ($12.50/contract). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,CME Globex: 
241,RB,http://www.cmegroup.com/trading/energy/refined-products/rbob-gasoline_contract_specifications.html,CME Globex: RBCME ClearPort: RBClearing: RB ,Deliverable ,U.S. dollars and cents per gallon. ,"42,000 gallons ",$0.0001 per gallon ,Trading in a current delivery month shall cease on the last business day of the month preceding the delivery month. ,CME Globex: 
242,RBB,http://www.cmegroup.com/trading/energy/refined-products/rbob-gasoline-vs-brent-crack-spread-swap-futures_contract_specifications.html,CME Globex: RBBCME ClearPort: RBBClearing: RBB ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
243,RF,http://www.cmegroup.com/trading/fx/g10/euro-fx-swiss-franc_contract_specifications.html,CME Globex: RFCME ClearPort: RFClearing: RF ,Deliverable ,,"125,000 euro ",.0001 Swiss francs per euro increments (12.5 Swiss francs). .00005 Swiss francs per euro increments (6.25 Swiss francs) for EUR/CHF futures intra-currency spreads executed electronically. ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
244,RK,http://www.cmegroup.com/trading/energy/refined-products/singapore-jet-regrade-jet-kero-vs-gasoil-swap-futures_contract_specifications.html,CME Globex: RKACME ClearPort: RKClearing: RK ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
245,RL,http://www.cmegroup.com/trading/energy/refined-products/rbob-calendar-swap-futures_contract_specifications.html,CME Globex: RLXCME ClearPort: RLClearing: RL ,Financially Settled ,U.S. dollars and cents per gallon. ,"42,000 gallons ",$0.0001 per gallon ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
246,RM,http://www.cmegroup.com/trading/energy/refined-products/rbob-crack-spread-swap-futures_contract_specifications.html,CME Globex: ARECME ClearPort: RMClearing: RM ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 U.S. barrels ",$0.01 per barrel ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
247,RMB,http://www.cmegroup.com/trading/fx/emerging-market/chinese-renminbi_contract_specifications.html,CME Globex: RMBCME ClearPort: RMBClearing: RMB ,Financially Settled ,,"1,000,000 Chinese renminbi ",$.00001 per Chinese renminbi increments ($10.00/contract). $.000005 per Chinese renminbi increments ($5.00/contract) for RMB/USD futures intra-currency spreads executed electronically. ,"Trading ceases at 9:00 a.m. Beijing time* on the second Beijing business day immediately preceding the third Wednesday of the contract month (i.e., In Chicago, 7:00 p.m. CT on Sunday night during the winter and 8:00 p.m. CT on Sunday night during the summer). ",CME Globex: 
248,RP,http://www.cmegroup.com/trading/fx/g10/euro-fx-british-pound_contract_specifications.html,CME Globex: RP ,Deliverable ,,"125,000 euro ",Outrights: 0.00005 GBP per EUR increments ($6.25 GBP). ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
249,RR,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/rough-rice_contract_specifications.html,CME Globex: ZRCME ClearPort: 14 ,Deliverable ,Cents per hundredweight ,"2,000 hundredweights (CWT) (~ 91 Metric Tons) ",1/2 cent per hundredweight ($10.00 per contract) ,The business day prior to the 15th calendar day of the contract month. ,"Sunday – Thursday, 7:00 p.m. – 9:00 p.m. CT and "
250,RS1,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-russell-1000-index_contract_specifications.html,CME Globex: RS1 ,Financially Settled ,,$50 x the Russell 1000 Index ,Outrights: 0.10 index points=$5.00 Calendar Spreads: 0.05 index points=$2.50 BTIC: 0.05 index points=$2.50 ,Trading can occur up to 9:30 a.m. ET on the 3rd Friday of the contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
251,RTY,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-russell-2000_contract_specifications.html,CME Globex: RTY ,Financially Settled ,,$50 x Russell 2000 Index ,Outright: 0.10 index points=$5.00 Calendar Spread: 0.05 index points=$2.50 BTIC: 0.05 index points=$2.50 ,Trading can occur up to 9:30 a.m. Eastern Time (ET) on the 3rd Friday of the contract month BTIC trading terminates at 4:00 p.m. Eastern Time (ET) on the Thursday before the 3rd Friday of contract month ,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with  trading halt 4:15 p.m. - 4:30 p.m. 
252,RU,http://www.cmegroup.com/trading/fx/emerging-market/russian-ruble_contract_specifications.html,CME Globex: 6RCME ClearPort: RUClearing: RU ,Financially Settled ,,"2,500,000 Russian rubles ",$.000005 per Russian ruble increments ($12.50/contract). ,"11:00 a.m. Moscow time on the fifteenth day of the month, or, if not a business day, on the next business day for the Moscow interbank foreign exchange market. ",CME Globex: 
253,RY,http://www.cmegroup.com/trading/fx/g10/euro-fx-japanese-yen_contract_specifications.html,CME Globex: RYCME ClearPort: RYClearing: RY ,Deliverable ,,"125,000 euro ",".01 Japanese yen per euro increments (1,250 Japanese yen). .005 Japanese yen per euro increments (625 Japanese yen) for EUR/JPY futures intra-currency spreads executed electronically. ",9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
254,S,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/soybean_contract_specifications.html,CME Globex: ZSCME ClearPort: S ,Deliverable ,Cents per bushel ,"5,000 bushels (~136 metric tons) ",1/4 of one cent per bushel ($12.50 per contract) ,The business day prior to the 15th calendar day of the contract month. ,"Sunday – Friday, 7:00 p.m. – 7:45 a.m. CT and "
255,S4,http://www.cmegroup.com/trading/energy/electricity/pjm-aps-zone-peak-calendar-month-day-ahead-lmp-swap-futures_contract_specifications.html,CME Globex: AS4CME ClearPort: S4Clearing: S4 ,Financially Settled ,The contract quantity shall be 80 Megawatt Hours (MWH) and is based on 5 megawatts for peak daily hours. Transaction sizes for trading in any delivery month shall be restricted to whole number multiples of the number of peak days in the contract month. ,80 Megawatt hours (MWh) (5 MW per peak hour). ,$0.05 per MWh ,CME Globex: ,CME Globex: 
256,SA,http://www.cmegroup.com/trading/interest-rates/deliverable-swaps/5-year-deliverable-interest-rate-swap-futures_contract_specifications.html,CME Globex: F1UCME ClearPort: F1UClearing: F1U ,Deliverable ,"Prices are made in terms of price points: 100 points plus net present value (NPV) of IRS that meets Delivery Standard, where NPV is present value of IRS fixed-rate payments minus present value of IRS floating-rate payments as of 3rd Wednesday of Delivery Month. Par is on the basis of 100 points. ","$1,000 per point ($100,000 per contract) ",¼ of 1/32nd point ($7.8125 per contract) ,Second London business day before 3rd Wednesday of futures Delivery Month. Trading in expiring contracts closes at 2:00 p.m. on the last trading day. ,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. 
257,SD,http://www.cmegroup.com/trading/energy/refined-products/singapore-180cst-fuel-oil-vs-380cst-fuel-oil-spread-swap-futures_contract_specifications.html,CME Globex: SDCME ClearPort: SDClearing: SD ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
258,SE,http://www.cmegroup.com/trading/energy/refined-products/singapore-380cst-fuel-oil-platts-swap-futures_contract_specifications.html,CME Globex: SECME ClearPort: SEClearing: SE ,Financially Settled ,U.S. dollars and cents per metric ton ,"1,000 metric tons ",$0.001 per metric ton ,Trading shall cease on the last business day of the contract month. ,CME Globex: 
259,SEK,http://www.cmegroup.com/trading/fx/g10/swedish-krona_contract_specifications.html,CME Globex: SEKCME ClearPort: SEClearing: SE ,Deliverable ,,"2,000,000 Swedish kronor ",$.00001 per Swedish krona increments ($20.00/contract). $.000005 per Swedish krona increments ($10.00/contract) for SEK/USD futures intra-currency spreads executed electronically. ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
260,SF,http://www.cmegroup.com/trading/fx/g10/swiss-franc_contract_specifications.html,CME Globex: 6SCME ClearPort: E1Clearing: E1 ,Deliverable ,,"125,000 Swiss francs ",$.0001 per Swiss Franc increments ($12.50/contract). $.00005 per Swiss Franc increments ($6.25/contract) for CHF/USD futures intra-currency spreads executed electronically. ,9:16 a.m. Central Time (CT) on the second business day immediately preceding the third Wednesday of the contract month (usually Monday). ,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break each day beginning at 5:00 p.m. (4:00 p.m. CT) 
261,SG,http://www.cmegroup.com/trading/energy/refined-products/singapore-gasoil-swap-futures_contract_specifications.html,CME Globex: SGBCME ClearPort: SGClearing: SG ,Financially Settled ,U.S. dollars and cents per barrel ,"1,000 barrels ",$0.001 per barrel ,Trading terminates on the last business day of the contract month. ,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beginning at 5:00 p.m. ET (4:00 p.m. CT) 
262,SI,http://www.cmegroup.com/trading/metals/precious/silver_contract_specifications.html,CME Globex: SICME ClearPort: SI ,Deliverable ,U.S. Cents per troy ounce ,"5,000 troy ounces ",Outright transactions: $0.005 per troy ounce. Straddle or spread transactions and settlement prices: $0.001 per troy ounce. ,Trading terminates at 12:25 p.m. CT on the third last business day of the delivery month. ,CME Globex: 
263,SIR,http://www.cmegroup.com/trading/fx/emerging-market/indian-rupee_contract_specifications.html,CME Globex: SIRCME ClearPort: SIR ,Financially Settled ,U.S. Cents per 100 Indian Rupees ,"5,000,000 Indian rupees ","0.01 U.S. cents per 100 INR increments ($5.00/tick). Also, trades can occur in 0.005 U.S. cents per 100 INR increments ($2.50/contract) for INR futures intra currency spreads executed on CME Globex®. ",Trading terminates at 12:00 noon Mumbai time two Indian business days immediately preceding the last Indian business day of the contract month. ,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. 
264,SM,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/soybean-meal_contract_specifications.html,CME Globex: ZMCME ClearPort: 06 ,Deliverable ,Dollars and Cents per short ton ,100 Short Tons (~ 91 metric tons) ,10 cents per short ton ($10.00 per contract) ,The business day prior to the 15th calendar day of the contract month. ,"Sunday – Friday, 7:00 p.m. – 7:45 a.m. CT and "
265,SP,http://www.cmegroup.com/trading/equity-index/us-index/sandp-500_contract_specifications.html,CME Globex: SP ,Financially Settled ,,$250 x S&P 500 Index ,Outright: 0.10 index points=$25 Calendar Spread: 0.05 index points=$12.50 ,Open Outcry: 4:15 p.m. ET on Thursday prior to 3rd Friday of the contract month  CME Globex: On the rollover date (typcially eight days prior to last trade date for open outcry) when the lead month goes off the screen and the deferred month becomes the new lead month. View Rollover Dates  ,Open Outcry: Monday - Friday: 9:30 a.m. - 4:15 p.m. Eastern Time (ET) 
266,SSI,http://www.cmegroup.com/trading/energy/coal/coal-api-8-cfr-south-china-argus-mccloskey-swap_contract_specifications.html,CME Globex: SSICME ClearPort: SSIClearing: SSI ,Financially Settled ,U.S. dollars per metric ton ,"1,000 metric tons ",$0.05 per metric ton; $0.01 for final settlement ,"The contract shall terminate at the close of trading on the last Friday of the contract month. If such Friday is a UK holiday, the contract will terminate on the UK business day immediately prior to the last Friday of the contract month unless such day is not an Exchange business day, in which case the contract shall terminate on the Exchange business day immediately prior. Notwithstanding the above, if New Year's Day is a Friday, the immediately preceding December contract month shall terminate on the last business day of the contract month. ",CME Globex: 
267,SZ,http://www.cmegroup.com/trading/energy/natural-gas/sonat-louisiana-natural-gas-basis-swap-futures-platts-iferc_contract_specifications.html,,,,,,,
